task,teacher_level,student_level,student_variants,seed,inst_high,inst_low_teacher,inst_low_student,inst_mid_direct,inst_mid_explore,inst_mid_direct_explore,inst_mid_avoid,inst_mid_explore_avoid
"Goto","Empty","UnlockDoor",,2201,"Get to the box.","Turn around and move four steps forward. Then go left four steps. You will reach the box.","Go left three steps. Pick up the green key. Go forward then left. Use the green key to open the locked green door. Move four steps forward. Then move two steps left. You will reach the box.",,,"Find a key and use it to unlock the locked door. On the other side of this door is the box. If at any point you cannot see the key, door, or box, walk around and explore your surroundings until you do see the item.",,
"Goto","Empty","UnlockDoor",,2,"Get to the ball.","Move one step forward. Then move one step right. You will reach the ball.","Pick up the red key to your right. Use the red key to open the red door to your left. Then move two steps forward. You will reach the ball.",,,"Find a key and use it to unlock the locked door. On the other side of this door is the ball. If at any point you cannot see the key, door, or ball, walk around and explore your surroundings until you do see the item.",,
"Goto","Empty","UnlockDoor",,3,"Get to the key.","Turn left and move three steps forward. Turn left again and move five steps forward. You will reach the key.","Turn left and move four steps forward. Pick up the yellow key. Use the yellow key to open the yellow door to your right. Move forward six steps. Turn right and move forward four steps. You will reach the key.",,,"Find a key and use it to unlock the locked door. On the other side of this door is the key. If at any point you cannot see the key, door, or target key, walk around and explore your surroundings until you do see the item.",,
"Goto","Empty","UnlockDoor",,4,"Get to the goal.","Turn left and move forward two steps. Turn left and move forward one step. You will reach the goal.","Turn right and pick up the red key. Move four cells behind you. Move one cell to the left. Use the red key to open the red door. Move forward five steps. Move right one step. You will reach the goal.",,,"Find a key and use it to unlock the locked door. On the other side of this door is the goal. If at any point you cannot see the key, door, or goal, walk around and explore your surroundings until you do see the item.",,
"Goto","Empty","UnlockDoor",,5,"Get to the box.","Move forward two steps. Then move right one step. You will reach the box.","Pick up the yellow key. Move forward one step. Use the yellow key to open the yellow door. Move forward six steps. You will reach the box.",,,"Find a key and use it to unlock the locked door. On the other side of this door is the box. If at any point you cannot see the key, door, or box, walk around and explore your surroundings until you do see the item.",,
"Pickup","BlockedDoor","Death",,1,"Pick up the box.","Pick up the purple box to your left. Go forward one step and put it down. Now open the red door right next to you. Go forward five steps. Go left three steps. Pick up the box.","Go four cells behind you. Turn left and move four cells forward. Pick up the box.",,,"If you don't see the box at first, go and explore around first, but don't step into any lava.",,
"Pickup","BlockedDoor","Death",,2,"Pick up the key.","Pick up the blue box to your left. Move forward one step and put it down. Open the red door right next to you. Move forward two steps. Pick up the key.","Move forward one step and right one step. Pick up the key.",,,"If you don't see the key at first, go and explore around, but don't step into any lava.",,
"Pickup","BlockedDoor","Death",,3,"Pick up the ball.","Pick up the yellow box to your right. Move forward one step and put it down. Open the yellow door right next to you. Move forward six steps. Go right four steps. Pick up the ball.","Turn left and move forward three steps. Turn left again and move forward five steps. Pick up the ball.",,,"If you don't see the ball at first, go and explore around, but don't step into any lava.",,
"Pickup","BlockedDoor","Death",,4,"Pick up the box.","Move left five steps. Pick up the purple ball. Put it down in the cell to your right. Open the red door. Move forward five steps. Pick up the box.","Turn left and move forward two steps. Pick up the box.",,,"If you don't see the box at first, go around and explore, but don't step into any lava.",,
"Pickup","BlockedDoor","Death",,5,"Pick up the key.","Pick up the green ball. Put it down in the cell to your left. Move forward one step. Open the yellow door. Move forward six steps. Pick up the key.","Move forward two steps. Move right two steps. Pick up the key.",,,"If you don't see the key at first, go around and explore, but don't step into any lava.",,
"Put","Dist","Dist","[\"num_objects\"]",3,"","","",,,"",,
"Arrange","HiddenKey","HiddenKey","[""color"",""room_size""]",5,"","","",,,"",,
"Collect","MultRooms","Empty",,8,"","","",,,"",,
